ID,Restaurant,Type,Description,Date,Time,Subtotal,Service,Delivery,Tax,Tip,Restaurant Total,Commission,Delivery Commission,Processing Fee,Withheld Tax,Targeted Promotion
O-955614893931316,Havenly Treats - Amity Rd,Prepaid Order,,4/12/21,1:20 PM,16,0,0,1.18,2.58,19.76,-3.2,-0.9,0,0,
O-109914936031706,Havenly Treats - Amity Rd,Prepaid Order,,4/16/21,2:15 PM,17.25,0,2.99,1.49,4.35,26.08,-4.05,-1.1,0,0,
O-422214980296709,Havenly Treats - Amity Rd,Prepaid Order,,4/21/21,7:48 PM,8,0,2.99,0.81,3,14.8,-2.2,-0.75,0,0,
O-724314788307343,Havenly Treats - Amity Rd,Prepaid Order,,4/1/21,3:29 PM,22.5,0,0,1.29,5.95,29.74,-4.5,-1.05,0,-5,
O-296315001811965,Havenly Treats - Amity Rd,Prepaid Order,,4/23/21,8:07 PM,18.25,0,0,1.34,0,19.59,-3.65,-0.9,0,0,
O-685914909790649,Havenly Treats - Amity Rd,Prepaid Order,,4/13/21,5:41 PM,16.5,0,0,1.21,3.54,21.25,-3.3,-0.95,0,0,
O-136514988256320,Havenly Treats - Amity Rd,Prepaid Order,,4/21/21,4:59 PM,23.75,0,0,1.75,3.83,29.33,-4.75,-1.19,0,0,
O-159614839894465,Havenly Treats - Amity Rd,Prepaid Order,,4/6/21,12:15 PM,25.5,0,0,1.87,2.74,30.11,-5.1,-1.22,0,0,
O-828914947466408,Havenly Treats - Amity Rd,Prepaid Order,,4/17/21,5:48 PM,19.5,0,0,1.43,3.14,24.07,-3.9,-1.03,0,0,
O-917914901095578,Havenly Treats - Amity Rd,Prepaid Order,,4/13/21,8:29 PM,17,0,0,1.25,3.65,21.9,-3.4,-0.97,0,0,
O-117114975957747,Havenly Treats - Amity Rd,Adjustment of O-117114975957747,Refund due to Mahashi removed from order,4/20/21,7:36 PM,-9,0,0,-0.66,0,-9.66,0,0,0,0,
T-AwEAAAAAABs5gUaMurChRxHrmti5fPX2gAo,Havenly Treats - Amity Rd,Account Adjustment,Adjustment due to tax exempt corporate client between 2021-04-12 and 2021-04-18,4/19/21,3:41 PM,0,0,0,0,0,-14.91,0,0,0,0,
O-812214895486247,Havenly Treats - Amity Rd,Prepaid Order,,4/12/21,5:39 PM,16.25,0,2.99,1.41,4.13,24.78,-3.85,-1.06,0,0,
O-630414926831931,Havenly Treats - Amity Rd,Prepaid Order,,4/15/21,6:52 PM,14.25,0,2.99,1.27,2.78,21.29,-3.45,-0.95,0,0,
O-958415031393967,Havenly Treats - Amity Rd,Prepaid Order,,4/26/21,7:00 PM,22.75,0,0,1.67,0,24.42,-4.55,-1.04,0,0,
O-424115036183564,Havenly Treats - Amity Rd,Prepaid Order,,4/26/21,5:45 PM,18.25,0,0,1.34,3.92,23.51,-3.65,-1.02,0,0,
O-923414844272437,Havenly Treats - Amity Rd,Prepaid Order,,4/7/21,5:15 PM,24.75,0,0,1.45,0,26.2,-4.95,-0.95,0,-5,
O-125714834430838,Havenly Treats - Amity Rd,Prepaid Order,,4/6/21,4:44 PM,21.5,0,0,1.58,0,23.08,-4.3,-1,0,0,
O-865014845977254,Havenly Treats - Amity Rd,Prepaid Order,,4/7/21,1:08 PM,23.25,0,9.99,2.44,6.24,41.92,-6.65,-1.58,0,0,
O-117114975957747,Havenly Treats - Amity Rd,Prepaid Order,,4/20/21,6:45 PM,19,0,0,1.4,3.5,23.9,-3.8,-1.03,0,0,
O-724314788383423,Havenly Treats - Amity Rd,Prepaid Order,,4/1/21,8:13 PM,13.4,0,2.99,1.2,1,18.59,-3.28,-0.87,0,0,
O-513714936708085,Havenly Treats - Amity Rd,Adjustment of O-513714936708085,Item not available - ,4/15/21,8:37 PM,-5.5,0,0,-0.4,0,-5.9,0,0,0,0,
O-296314991888774,Havenly Treats - Amity Rd,Prepaid Order,,4/22/21,4:02 PM,13.75,0,2.99,1.23,2.03,20,-3.35,-0.91,0,0,
O-305614844477090,Havenly Treats - Amity Rd,Prepaid Order,,4/7/21,7:31 PM,26.75,0,0,1.97,2.87,31.59,-5.35,-1.26,0,0,
O-524614798394138,Havenly Treats - Amity Rd,Prepaid Order,,4/2/21,5:24 PM,16.5,0,0,0.85,0,17.35,-3.3,-0.68,0,-5,
O-513714936708085,Havenly Treats - Amity Rd,Prepaid Order,,4/15/21,8:37 PM,21.5,0,0,1.58,1.5,24.58,-4.3,-1.05,0,0,
O-630414926801297,Havenly Treats - Amity Rd,Prepaid Order,,4/15/21,6:45 PM,22.5,0,0,1.65,0.85,25,-4.5,-1.06,0,0,
O-531814805637606,Havenly Treats - Amity Rd,Prepaid Order,,4/3/21,7:01 PM,37.75,0,2.99,2.99,8.75,52.48,-8.15,-1.9,0,0,
O-726614927467169,Havenly Treats - Amity Rd,Prepaid Order,,4/15/21,8:14 PM,16.25,0,0,1.19,2,19.44,-3.25,-0.89,0,0,
O-603614974887413,Havenly Treats - Amity Rd,Prepaid Order,,4/20/21,7:07 PM,13.75,0,0,1.01,5.24,20,-2.75,-0.91,0,0,
O-531814845611148,Havenly Treats - Amity Rd,Prepaid Order,,4/7/21,5:49 PM,16.5,0,0,1.21,2.29,20,-3.3,-0.91,0,0,
O-531814835673484,Havenly Treats - Amity Rd,Prepaid Order,,4/6/21,2:22 PM,19.5,0,0,1.43,3.14,24.07,-3.9,-1.03,0,0,
O-305614784487615,Havenly Treats - Amity Rd,Prepaid Order,,4/1/21,12:36 PM,16.25,0,0,0.83,2.92,20,-3.25,-0.76,0,-5,
O-724314838345898,Havenly Treats - Amity Rd,Prepaid Order,,4/6/21,7:12 PM,24.75,0,0,1.82,3.99,30.56,-4.95,-1.23,0,0,
